fpr,tpr,threshold
0.052303860523038606,0.14035087719298245,0.700689
0.053549190535491904,0.14035087719298245,0.70032156
0.053549190535491904,0.14870509607351712,0.69714165
0.05603985056039851,0.14870509607351712,0.6963455
0.05603985056039851,0.15121136173767752,0.69612193
0.057285180572851806,0.15121136173767752,0.6958744
0.057285180572851806,0.15789473684210525,0.6946596
0.058530510585305104,0.15789473684210525,0.6944684
0.058530510585305104,0.1595655806182122,0.693256
0.05977584059775841,0.1595655806182122,0.6930764
0.05977584059775841,0.16123642439431912,0.692682
0.06102117061021171,0.16123642439431912,0.6923922
0.06102117061021171,0.16374269005847952,0.6909627
0.06351183063511831,0.16374269005847952,0.68948096
0.06351183063511831,0.16541353383458646,0.6891399
0.0660024906600249,0.16541353383458646,0.68839467
0.0660024906600249,0.17126148705096073,0.68747556
0.06724782067247821,0.17126148705096073,0.68740404
0.06724782067247821,0.17376775271512113,0.68621767
0.06973848069738481,0.17376775271512113,0.6860317
0.06973848069738481,0.1746031746031746,0.68578345
0.07098381070983811,0.1746031746031746,0.68564
0.07098381070983811,0.177109440267335,0.68516016
0.0722291407222914,0.177109440267335,0.6850976
0.0722291407222914,0.17794486215538846,0.6848313
0.074719800747198,0.17794486215538846,0.68425107
0.074719800747198,0.17878028404344193,0.68415827
0.07721046077210461,0.17878028404344193,0.6824193
0.07721046077210461,0.18128654970760233,0.68218005
0.07970112079701121,0.18128654970760233,0.68195367
0.07970112079701121,0.18379281537176273,0.68088305
0.0821917808219178,0.18379281537176273,0.6806812
0.0821917808219178,0.18629908103592313,0.6797202
0.08343711083437111,0.18629908103592313,0.6795722
0.08343711083437111,0.18880534670008353,0.67847836
0.0859277708592777,0.18880534670008353,0.6781808
0.0859277708592777,0.189640768588137,0.6779981
0.08717310087173101,0.189640768588137,0.677873
0.08717310087173101,0.19047619047619047,0.6777853
0.08841843088418432,0.19047619047619047,0.6777571
0.08841843088418432,0.19298245614035087,0.67713344
0.0896637608966376,0.19298245614035087,0.67700917
0.0896637608966376,0.19381787802840433,0.6767846
0.09090909090909091,0.19381787802840433,0.67637855
0.09090909090909091,0.1946532999164578,0.6757384
0.0921544209215442,0.1946532999164578,0.67572325
0.0921544209215442,0.202172096908939,0.67412657
0.09339975093399751,0.202172096908939,0.67406833
0.09339975093399751,0.2071846282372598,0.67288196
0.09838107098381071,0.2071846282372598,0.67206573
0.09838107098381071,0.20802005012531327,0.6719071
0.099626400996264,0.20802005012531327,0.6718286
0.099626400996264,0.2096908939014202,0.6716606
0.10087173100871731,0.2096908939014202,0.6716552
0.10087173100871731,0.2121971595655806,0.6714357
0.10211706102117062,0.2121971595655806,0.6709714
0.10211706102117062,0.21303258145363407,0.67078483
0.10336239103362391,0.21303258145363407,0.67068493
0.10336239103362391,0.214703425229741,0.6704963
0.10460772104607721,0.214703425229741,0.6703186
0.10460772104607721,0.21637426900584794,0.6695292
0.10585305105853052,0.21637426900584794,0.6694964
0.10585305105853052,0.2172096908939014,0.66881454
0.10709838107098381,0.2172096908939014,0.6687486
0.10709838107098381,0.2197159565580618,0.6678115
0.11083437110834371,0.2197159565580618,0.667199
0.11083437110834371,0.22055137844611528,0.6670913
0.11207970112079702,0.22055137844611528,0.66699326
0.11207970112079702,0.2247284878863826,0.66615593
0.1133250311332503,0.2247284878863826,0.6659312
0.1133250311332503,0.22639933166248954,0.6654922
0.11457036114570361,0.22639933166248954,0.6652575
0.11457036114570361,0.23475355054302421,0.6630521
0.11581569115815692,0.23475355054302421,0.6630299
0.11581569115815692,0.24394319131161235,0.66176283
0.11706102117061021,0.24394319131161235,0.6617042
0.11706102117061021,0.24561403508771928,0.6616509
0.11830635118306351,0.24561403508771928,0.6615194
0.11830635118306351,0.24979114452798662,0.6608002
0.11955168119551682,0.24979114452798662,0.6606525
0.11955168119551682,0.2506265664160401,0.66036016
0.12079701120797011,0.2506265664160401,0.6603584
0.12079701120797011,0.2556390977443609,0.658571
0.1232876712328767,0.2556390977443609,0.65812564
0.1232876712328767,0.25647451963241436,0.65801185
0.12453300124533001,0.25647451963241436,0.65750086
0.12453300124533001,0.2573099415204678,0.6571566
0.12577833125778332,0.2573099415204678,0.65714157
0.12577833125778332,0.2581453634085213,0.6565951
0.1295143212951432,0.2581453634085213,0.6563422
0.1295143212951432,0.26148705096073516,0.65541863
0.13325031133250312,0.26148705096073516,0.6548769
0.13325031133250312,0.2623224728487886,0.6548587
0.13449564134495642,0.2623224728487886,0.6544337
0.13449564134495642,0.2631578947368421,0.6542706
0.1357409713574097,0.2631578947368421,0.6542102
0.1357409713574097,0.26399331662489556,0.65407014
0.136986301369863,0.26399331662489556,0.6539905
0.136986301369863,0.2731829573934837,0.6516261
0.1382316313823163,0.2731829573934837,0.6515601
0.1382316313823163,0.2756892230576441,0.65115833
0.13947696139476962,0.2756892230576441,0.6510964
0.13947696139476962,0.27652464494569756,0.6509816
0.14072229140722292,0.27652464494569756,0.6508014
0.14072229140722292,0.2781954887218045,0.65071034
0.1444582814445828,0.2781954887218045,0.65057737
0.1444582814445828,0.27986633249791143,0.65030396
0.14570361145703611,0.27986633249791143,0.6502419
0.14570361145703611,0.28404344193817876,0.6498849
0.14694894146948942,0.28404344193817876,0.6497681
0.14694894146948942,0.28738512949039263,0.648994
0.14819427148194272,0.28738512949039263,0.6488533
0.14819427148194272,0.28989139515455303,0.64825225
